customer_id,age,gender,plan,monthly_bill,tenure,support_calls,data_usage,payment_method,churn
CUST00001,56,Male,Standard,31.21,61,5,37.03,Bank Transfer,No
CUST00002,69,Female,Basic,30.89,59,2,14.18,Bank Transfer,No
CUST00003,46,Male,Standard,70.28,22,1,49.28,Mobile Wallet,No
CUST00004,32,Female,Standard,52.93,68,5,26.06,Bank Transfer,Yes
CUST00005,60,Male,Standard,43.82,4,6,21.46,Bank Transfer,Yes
CUST00006,25,Male,Standard,52.59,29,3,17.85,Bank Transfer,No
CUST00007,38,Female,Standard,47.79,58,1,18.94,Cash,No
CUST00008,56,Male,Basic,33.28,58,6,15.24,,No
CUST00009,36,Female,Standard,38.8,54,3,23.25,Cash,No
CUST00010,40,Female,Premium,72.48,28,1,23.56,Card,Yes
CUST00011,28,Male,Standard,35.39,39,3,28.44,Mobile Wallet,No
CUST00012,28,Male,Basic,30.18,57,3,15.7,Bank Transfer,No
CUST00013,41,Male,Basic,45.27,64,3,56.48,Bank Transfer,No
CUST00014,70,Male,Premium,72.61,30,2,11.58,Card,No
CUST00015,53,Male,Basic,29.6,50,5,9.77,Mobile Wallet,No
CUST00016,57,Female,Basic,33.79,54,5,32.61,Card,No
CUST00017,41,Male,Standard,51.54,23,4,19.84,Card,No
CUST00018,20,Female,Premium,82.4,18,2,11.04,Cash,Yes
CUST00019,39,Male,Basic,35.61,54,2,2.86,Card,No
CUST00020,70,Male,Standard,66.06,28,3,39.27,Mobile Wallet,No
CUST00021,19,Male,Standard,51.15,8,4,27.95,Bank Transfer,No
CUST00022,41,Female,Basic,34.87,32,3,15.64,Mobile Wallet,No
CUST00023,61,Male,Premium,87.3,6,2,19.45,Mobile Wallet,Yes
CUST00024,47,Female,Standard,51.96,72,3,25.3,Card,No
CUST00025,55,Female,Standard,49.07,40,3,47.86,Bank Transfer,No
CUST00026,19,Female,Premium,87.84,51,3,5.52,Mobile Wallet,No
CUST00027,38,Male,Premium,83.37,47,2,14.69,Cash,No
CUST00028,50,Female,Standard,46.64,70,2,38.82,Cash,No
CUST00029,29,Male,Basic,27.46,68,2,61.18,Bank Transfer,No
CUST00030,39,Female,Premium,71.37,7,2,40.47,Mobile Wallet,Yes
CUST00031,61,Male,Standard,59.62,27,3,28.65,Card,No
CUST00032,42,Female,Premium,46.0,66,6,14.66,Mobile Wallet,Yes
CUST00033,66,Male,Premium,42.15,54,3,30.35,Cash,No
CUST00034,44,Male,Basic,25.17,14,3,15.59,Bank Transfer,No
CUST00035,59,Male,Premium,61.09,22,5,28.2,Cash,No
CUST00036,45,Female,Standard,54.68,69,5,10.72,Mobile Wallet,No
CUST00037,33,Female,Standard,39.69,56,3,16.88,Card,No
CUST00038,32,Male,Basic,21.61,60,5,22.14,Card,No
CUST00039,64,Female,Premium,83.38,51,6,45.45,Card,Yes
CUST00040,68,Female,Standard,37.75,16,1,35.25,Card,No
CUST00041,61,Female,Standard,52.8,6,1,22.47,Bank Transfer,No
CUST00042,69,Female,Premium,79.32,1,2,32.44,Mobile Wallet,Yes
CUST00043,20,Female,Standard,65.9,12,3,41.79,Card,No
CUST00044,54,Female,Standard,66.85,24,2,10.63,Bank Transfer,No
CUST00045,68,Female,Premium,73.74,43,6,9.49,Mobile Wallet,Yes
CUST00046,24,Male,Standard,36.36,34,5,22.54,Cash,No
CUST00047,38,Male,Premium,82.59,57,3,35.12,Bank Transfer,Yes
CUST00048,26,Female,Premium,87.85,21,1,15.54,Card,No
CUST00049,56,Male,Standard,46.84,40,1,59.62,Card,No
CUST00050,35,Male,Standard,42.77,33,3,14.96,Card,No
CUST00051,21,Male,Basic,26.93,33,4,42.86,Cash,No
CUST00052,42,Female,Standard,49.28,28,1,43.36,Card,No
CUST00053,31,Female,Standard,56.62,65,2,12.43,Bank Transfer,No
CUST00054,67,Female,Standard,31.87,46,8,25.15,Bank Transfer,No
CUST00055,26,Female,Basic,33.94,33,0,34.1,Card,No
CUST00056,43,Female,Basic,37.17,69,5,26.37,Mobile Wallet,No
CUST00057,70,Male,Basic,27.15,66,2,19.71,Cash,No
CUST00058,19,Female,Basic,19.86,36,2,6.17,Cash,No
CUST00059,37,Male,Standard,45.7,54,4,5.72,Bank Transfer,No
CUST00060,45,Female,Basic,32.96,50,3,8.52,Mobile Wallet,No
CUST00061,64,Male,Basic,39.07,51,3,9.17,Mobile Wallet,No
CUST00062,24,Female,Basic,17.3,52,1,21.73,Card,No
CUST00063,61,Female,Standard,51.09,21,6,28.58,Bank Transfer,Yes
CUST00064,25,Female,Premium,80.84,30,6,12.46,Cash,Yes
CUST00065,64,Female,Basic,15.72,15,4,13.94,Mobile Wallet,No
CUST00066,52,Female,Standard,27.67,9,6,46.01,Mobile Wallet,Yes
CUST00067,31,Female,Standard,52.03,32,2,5.45,Mobile Wallet,No
CUST00068,34,Male,Basic,33.36,72,2,24.26,Mobile Wallet,No
CUST00069,53,Female,Standard,58.27,23,1,10.24,Card,No
CUST00070,67,Male,Basic,27.5,27,3,30.02,Card,No
CUST00071,57,Female,Standard,38.7,42,0,33.85,Mobile Wallet,No
CUST00072,21,Male,Basic,17.6,8,0,47.69,Card,No
CUST00073,19,Male,Premium,102.55,11,5,22.06,Bank Transfer,Yes
CUST00074,23,Male,Basic,32.86,21,4,6.32,Bank Transfer,No
CUST00075,59,Male,Standard,46.71,44,3,18.5,Card,No
CUST00076,21,Male,Premium,93.37,39,1,20.84,Cash,Yes
CUST00077,46,Male,Basic,32.42,33,3,51.5,Mobile Wallet,No
CUST00078,35,Female,Standard,49.28,67,5,14.16,Mobile Wallet,No
CUST00079,43,Male,Standard,37.78,55,0,22.41,Mobile Wallet,No
CUST00080,61,Female,Standard,57.71,13,6,26.6,Bank Transfer,Yes
CUST00081,51,Female,Basic,26.57,36,2,32.61,Mobile Wallet,No
CUST00082,27,Male,Basic,34.75,26,3,37.9,Bank Transfer,No
CUST00083,53,Male,Standard,52.12,38,8,5.19,Mobile Wallet,No
CUST00084,31,Female,Standard,49.13,23,4,16.49,Mobile Wallet,No
CUST00085,48,Male,Standard,34.91,8,5,18.25,Card,Yes
CUST00086,65,Male,Basic,29.7,14,4,24.14,Bank Transfer,No
CUST00087,32,Male,Basic,32.65,24,4,18.62,Mobile Wallet,No
CUST00088,25,Male,Standard,51.71,40,2,23.07,Bank Transfer,No
CUST00089,31,Male,Standard,63.17,25,4,49.84,Bank Transfer,Yes
CUST00090,40,Male,Standard,58.7,25,2,43.11,Cash,No
CUST00091,57,Male,Basic,31.36,17,2,47.22,Mobile Wallet,No
CUST00092,38,Female,Basic,22.32,4,3,13.61,Bank Transfer,No
CUST00093,33,Male,Basic,31.15,41,2,15.99,Card,No
CUST00094,62,Female,Basic,26.89,60,2,17.19,Card,No
CUST00095,35,Female,Basic,26.69,43,1,30.0,Mobile Wallet,No
CUST00096,64,Female,Standard,31.18,54,3,26.61,Card,No
CUST00097,70,Female,Standard,60.53,52,5,36.58,Cash,No
CUST00098,41,Male,Standard,65.7,21,4,20.72,Bank Transfer,No
CUST00099,43,Female,Basic,40.33,24,3,25.61,Card,No
CUST00100,42,Female,Basic,26.58,37,5,40.37,Card,No
CUST00101,62,Female,Standard,65.52,44,1,13.62,Bank Transfer,No
CUST00102,58,Female,Premium,62.32,5,2,12.2,Card,No
CUST00103,46,Female,Standard,66.86,61,6,28.61,Mobile Wallet,No
CUST00104,32,Male,Standard,55.39,44,2,11.67,Mobile Wallet,No
CUST00105,62,Male,Premium,87.44,6,0,19.53,Card,No
CUST00106,18,Female,Standard,40.34,3,7,25.3,Mobile Wallet,Yes
CUST00107,42,Male,Basic,45.97,65,2,20.79,Mobile Wallet,No
CUST00108,24,Male,Standard,59.36,31,3,14.64,Mobile Wallet,No
CUST00109,26,Female,Basic,18.6,55,3,9.68,Cash,No
CUST00110,41,Female,Standard,56.75,45,5,4.59,Bank Transfer,Yes
CUST00111,18,Female,Standard,59.16,55,4,41.1,Bank Transfer,No
CUST00112,61,Male,Standard,59.31,60,1,8.54,Card,No
CUST00113,25,Female,Basic,28.51,31,3,23.26,Card,No
CUST00114,41,Male,Standard,56.81,39,1,25.68,Cash,No
CUST00115,28,Male,Standard,43.68,48,2,20.21,Card,No
CUST00116,68,Male,Premium,81.26,27,3,10.2,Card,Yes
CUST00117,34,Female,Standard,45.55,16,1,21.88,Mobile Wallet,No
CUST00118,25,Male,Premium,69.97,52,3,19.21,,No
CUST00119,52,Female,Basic,33.03,4,3,10.15,Bank Transfer,No
CUST00120,52,Female,Standard,57.59,42,3,8.49,Card,Yes
CUST00121,50,Female,Basic,29.02,54,3,69.37,Mobile Wallet,No
CUST00122,22,Female,Basic,39.25,9,5,27.02,Mobile Wallet,No
CUST00123,59,Female,Premium,90.54,25,5,46.85,Bank Transfer,Yes
CUST00124,56,Male,Premium,95.33,58,2,5.16,Bank Transfer,No
CUST00125,58,Male,Basic,32.85,18,2,30.93,Card,No
CUST00126,45,Male,Basic,27.11,44,5,22.82,Card,No
CUST00127,24,Male,Basic,34.32,49,4,46.64,Card,No
CUST00128,26,Male,Premium,71.86,44,6,19.67,Mobile Wallet,No
CUST00129,25,Female,Basic,37.77,38,3,4.93,Mobile Wallet,No
CUST00130,29,Female,Basic,29.22,65,1,26.53,Bank Transfer,Yes
CUST00131,51,Male,Basic,28.48,10,2,19.62,Mobile Wallet,No
CUST00132,50,Male,Standard,47.65,63,1,25.62,Card,No
CUST00133,65,Male,Premium,60.35,46,3,11.07,Bank Transfer,No
CUST00134,40,Female,Basic,19.35,2,4,24.85,Card,No
CUST00135,41,Female,Standard,44.24,20,6,9.99,Card,No
CUST00136,54,Female,Basic,17.16,3,1,18.53,Bank Transfer,Yes
CUST00137,52,Male,Standard,45.95,36,6,12.36,Card,No
CUST00138,61,Male,Standard,63.93,5,6,65.88,Card,Yes
CUST00139,57,Male,Basic,33.73,20,2,30.92,Bank Transfer,No
CUST00140,39,Male,Basic,25.14,3,5,5.92,Cash,No
CUST00141,44,Female,Premium,67.87,3,4,15.51,Cash,No
CUST00142,52,Male,Basic,32.59,70,5,55.13,Mobile Wallet,No
CUST00143,18,Male,Standard,27.13,47,2,15.84,Bank Transfer,No
CUST00144,52,Male,Standard,24.42,37,4,22.96,Bank Transfer,No
CUST00145,54,Female,Basic,40.15,8,6,8.18,Card,Yes
CUST00146,64,Female,Standard,54.53,1,4,27.55,Bank Transfer,No
CUST00147,31,Male,Premium,75.17,45,3,11.95,Card,No
CUST00148,20,Female,Standard,46.58,10,0,24.41,Bank Transfer,No
CUST00149,18,Female,Basic,33.45,68,0,24.9,Card,No
CUST00150,22,Female,Standard,51.61,43,2,15.6,Bank Transfer,No
CUST00151,43,Female,Standard,57.23,41,1,36.73,Cash,No
CUST00152,31,Female,Standard,41.05,12,3,22.91,Card,No
CUST00153,56,Male,Standard,52.58,8,7,20.65,Mobile Wallet,Yes
CUST00154,44,Male,Basic,42.73,45,0,29.44,Card,No
CUST00155,26,Male,Standard,49.09,1,6,21.9,Mobile Wallet,No
CUST00156,32,Female,Standard,44.39,26,5,85.5,Cash,Yes
CUST00157,32,Female,Basic,29.77,31,1,7.08,Bank Transfer,No
CUST00158,43,Female,Standard,50.08,56,3,27.51,Card,No
CUST00159,59,Female,Basic,35.79,37,3,25.84,Card,No
